p,q,r,theta_1,theta_2,theta_3,theta_4
1.15587,-0.00397047,-0.0104332,0.328272,-0.0690289,0.190981,0.118116
1.16285,-0.00473883,-0.0098556,0.326738,-0.0697966,0.190214,0.116583
1.17033,-0.0058177,-0.010018,0.325971,-0.0713301,0.18868,0.115815
1.17815,-0.00614703,-0.00935596,0.324437,-0.0728645,0.187913,0.114282
1.18675,-0.00584862,-0.00874965,0.322903,-0.0736313,0.186378,0.112747
1.19589,-0.0048854,-0.00890956,0.321369,-0.0751648,0.185612,0.111214
1.20646,-0.00466389,-0.00917699,0.320602,-0.0759325,0.184078,0.109679
1.21668,-0.00485391,-0.00832175,0.319068,-0.077466,0.183311,0.108912
1.22493,-0.00439511,-0.0084166,0.317534,-0.0790005,0.181777,0.107379
1.23344,-0.00489711,-0.00774132,0.316767,-0.0797672,0.18101,0.105844
1.24079,-0.00529139,-0.00730904,0.315233,-0.0813007,0.179476,0.104311
1.2467,-0.00512168,-0.00731286,0.313699,-0.0828352,0.178709,0.103543
1.25327,-0.00562528,-0.00693362,0.312932,-0.083602,0.177175,0.10201
1.26168,-0.00564086,-0.00511633,0.311399,-0.0851364,0.175641,0.100475
1.27017,-0.00544774,-0.00431606,0.310631,-0.0859032,0.174874,0.0997086
1.27834,-0.00561518,-0.00456514,0.309097,-0.0874367,0.17334,0.098175
1.28745,-0.00506502,-0.00558998,0.307563,-0.0882044,0.171806,0.0974083
1.2951,-0.00470468,-0.00456251,0.306796,-0.0897379,0.170272,0.0958738
1.30285,-0.00451838,-0.00282578,0.305263,-0.0912724,0.169505,0.0943403
1.30869,-0.00427883,-0.00175958,0.304495,-0.0920391,0.167971,0.0935726
1.31481,-0.00260162,-0.00293926,0.302961,-0.0935726,0.166437,0.0920391
1.32198,-0.00270957,-0.0046738,0.302195,-0.0943403,0.164903,0.0912724
1.32932,-0.00284556,-0.00431322,0.30066,-0.0958738,0.163369,0.0905046
1.33601,-0.00241735,-0.00398404,0.299893,-0.0966406,0.161835,0.0889711
1.34297,-0.0026705,-0.0040041,0.298359,-0.098175,0.161068,0.0882044
1.3497,-0.00352149,-0.00398702,0.297592,-0.0989418,0.159534,0.0866699
1.35588,-0.00405724,-0.00296141,0.296059,-0.100475,0.158,0.0851364
1.36292,-0.00407673,-0.00312794,0.294524,-0.10201,0.156466,0.0843687
1.37103,-0.00515795,-0.00238265,0.293757,-0.102777,0.154932,0.083602
1.37822,-0.00589859,-0.00218779,0.292224,-0.104311,0.154165,0.0820684
1.38381,-0.00688277,-0.00186313,0.290689,-0.105844,0.152631,0.0813007
1.38986,-0.00682088,-0.00172409,0.289156,-0.107379,0.151097,0.0797672
1.39611,-0.00572724,-0.00199814,0.288388,-0.108146,0.150331,0.0782328
1.40361,-0.00590057,-0.00328635,0.286855,-0.109679,0.148796,0.077466
1.41071,-0.00720362,-0.00338536,0.28532,-0.111214,0.148029,0.0759325
1.41756,-0.00674175,-0.00418837,0.283787,-0.112747,0.146495,0.074398
1.42506,-0.00520021,-0.00556927,0.282252,-0.114282,0.144961,0.0728645
1.43169,-0.0043894,-0.00570987,0.280719,-0.115815,0.144195,0.0713301
1.43701,-0.00423647,-0.00540069,0.279184,-0.11735,0.14266,0.0705633
1.44237,-0.00311719,-0.00539732,0.277651,-0.118883,0.141893,0.0682621
1.44673,-0.00350492,-0.00520898,0.276116,-0.120418,0.140359,0.0667286
1.45208,-0.00440435,-0.00687931,0.274583,-0.121951,0.138825,0.0651941
1.45667,-0.00548237,-0.00816962,0.273048,-0.122719,0.137291,0.0636606
1.46378,-0.0062075,-0.00806038,0.271515,-0.124252,0.136524,0.0621262
1.47022,-0.00575128,-0.00734583,0.26998,-0.125787,0.134991,0.0598249
1.47588,-0.00497455,-0.00722812,0.269214,-0.12732,0.133456,0.0582914
1.48138,-0.00500034,-0.00829426,0.26768,-0.128855,0.131923,0.056757
1.48664,-0.00569782,-0.00856834,0.266146,-0.130388,0.130388,0.0552235
1.49082,-0.00581653,-0.00809254,0.264612,-0.131923,0.128855,0.053689
1.49582,-0.00448074,-0.00714255,0.263078,-0.133456,0.12732,0.0521555
1.50035,-0.00302593,-0.00691795,0.261544,-0.134223,0.125787,0.050621
1.50386,-0.00256406,-0.0073066,0.26001,-0.135757,0.124252,0.0490875
1.50731,-0.00324292,-0.00780181,0.258476,-0.137291,0.122719,0.0475531
1.51067,-0.00480697,-0.0076149,0.257709,-0.138825,0.121184,0.0460196
1.51419,-0.00742992,-0.00684186,0.256175,-0.140359,0.119651,0.0452528
1.51917,-0.00831148,-0.00705744,0.254641,-0.141127,0.118116,0.0437183
1.52334,-0.0082824,-0.00701452,0.253107,-0.14266,0.116583,0.0421848
1.5268,-0.0074544,-0.00753528,0.25234,-0.144195,0.115048,0.0406504
1.53111,-0.00619225,-0.00670936,0.250806,-0.145728,0.113515,0.0398836
1.53445,-0.00513661,-0.00796378,0.249272,-0.146495,0.11198,0.0383492
1.5379,-0.00517012,-0.0103054,0.247738,-0.148029,0.110447,0.0368156
1.54131,-0.00467914,-0.0110909,0.246204,-0.149563,0.108912,0.0360489
1.54469,-0.00464718,-0.00982905,0.24467,-0.150331,0.107379,0.0345144
1.54782,-0.00485805,-0.00795736,0.243136,-0.151864,0.105844,0.0329809
1.5502,-0.00492699,-0.00634678,0.241602,-0.153399,0.104311,0.0322132
1.55239,-0.00546952,-0.00537806,0.240068,-0.154932,0.103543,0.0306797
1.55491,-0.0059702,-0.00337681,0.238534,-0.156466,0.10201,0.0291452
1.5563,-0.0057717,-0.00189297,0.237,-0.158,0.100475,0.0283785
1.55736,-0.00499365,-0.0023401,0.235466,-0.159534,0.0989418,0.026845
1.55916,-0.00408886,-0.00468996,0.233932,-0.161068,0.098175,0.0253105
1.56128,-0.00331073,-0.00545422,0.232398,-0.162602,0.0966406,0.023777
1.56383,-0.00338449,-0.00521132,0.230865,-0.164136,0.0951071,0.0222425
1.56501,-0.0035748,-0.00347907,0.22933,-0.16567,0.0935726,0.020709
1.56568,-0.00334298,-0.00244726,0.227797,-0.167204,0.0928059,0.0191746
1.56799,-0.003871,-0.00237388,0.226262,-0.168738,0.0912724,0.0176411
1.57044,-0.00369535,-0.00172758,0.224729,-0.170272,0.0897379,0.0153399
1.57101,-0.00353742,-0.00194127,0.223194,-0.171806,0.0882044,0.0138054
1.57152,-0.00282376,-0.00270333,0.221661,-0.17334,0.0866699,0.0122719
1.57266,-0.00265002,-0.00314269,0.220126,-0.174874,0.0851364,0.0107374
1.57379,-0.00298678,-0.0046197,0.217825,-0.176408,0.0843687,0.00843716
1.57359,-0.00431988,-0.00425244,0.216291,-0.177942,0.0828352,0.00690269
1.57375,-0.0047655,-0.00421681,0.214757,-0.179476,0.0813007,0.00536919
1.57602,-0.00488144,-0.00293584,0.213223,-0.18101,0.0797672,0.00383472
