p,q,r,theta_1,theta_2,theta_3,theta_4
-1.71666,0.0076689,0.00931798,0.171039,-0.241602,0.0191746,-0.0414171
-1.71957,0.00823843,0.0104039,0.17334,-0.240068,0.0214758,-0.0391169
-1.72165,0.00777016,0.0105613,0.174874,-0.238534,0.0230093,-0.0375824
-1.72446,0.00751287,0.0112161,0.176408,-0.237,0.0253105,-0.0360489
-1.72704,0.0082116,0.0124608,0.177942,-0.234699,0.026845,-0.0337477
-1.7303,0.00799999,0.0138925,0.179476,-0.233165,0.0283785,-0.0314465
-1.73313,0.00873471,0.0143363,0.18101,-0.231631,0.0306797,-0.0299129
-1.73568,0.00947429,0.0141167,0.182544,-0.230097,0.0322132,-0.0276117
-1.7375,0.0094118,0.0145003,0.184845,-0.228563,0.0337477,-0.0260773
-1.73967,0.00799844,0.0142906,0.186378,-0.226262,0.0352812,-0.023777
-1.7423,0.00722949,0.0141244,0.187913,-0.224729,0.0375824,-0.0214758
-1.74445,0.00728057,0.0148126,0.190214,-0.223194,0.0391169,-0.0199413
-1.74662,0.00814264,0.0152725,0.191748,-0.220893,0.0406504,-0.0184078
-1.74868,0.00823478,0.0162443,0.194049,-0.219359,0.0421848,-0.0168734
-1.74965,0.00842569,0.0170799,0.195582,-0.217058,0.0437183,-0.0145731
-1.75166,0.00841995,0.0171997,0.197884,-0.215525,0.0452528,-0.0130386
-1.75255,0.0093692,0.0174042,0.199417,-0.213223,0.0467863,-0.0122719
-1.75371,0.00931726,0.0175465,0.201718,-0.211689,0.0490875,-0.0107374
-1.75445,0.00832768,0.018268,0.203253,-0.209389,0.050621,-0.00920391
-1.7546,0.00922774,0.017851,0.205553,-0.207854,0.0521555,-0.00766945
-1.75645,0.0110598,0.0186178,0.207088,-0.205553,0.053689,-0.00613594
-1.75681,0.0119101,0.020124,0.209389,-0.20402,0.0552235,-0.00460148
-1.75645,0.0111096,0.0206927,0.210922,-0.202485,0.056757,-0.00306797
-1.75547,0.0103688,0.0221806,0.212457,-0.200185,0.0590582,-0.00153351
-1.75462,0.00963393,0.0240621,0.21399,-0.19865,0.0605927,0
-1.75399,0.0104846,0.0260664,0.216291,-0.197117,0.0628929,0.00153351
-1.7539,0.0110741,0.0261744,0.217825,-0.195582,0.0644274,0.00306797
-1.75339,0.01143,0.0258434,0.219359,-0.194049,0.0667286,0.00460148
-1.7527,0.0111423,0.0262943,0.221661,-0.192514,0.0682621,0.000766754
-1.7522,0.0108469,0.0258636,0.223194,-0.190214,0.0705633,0.00306797
-1.75047,0.0100072,0.0268374,0.224729,-0.18868,0.0720968,0.00460148
-1.7492,0.00931181,0.027382,0.226262,-0.187146,0.074398,0.00613594
-1.74829,0.00965672,0.027271,0.227797,-0.185612,0.0759325,0.00843716
-1.74802,0.0100522,0.0265602,0.230097,-0.183311,0.077466,0.00997066
-1.74795,0.00974461,0.0257279,0.231631,-0.181777,0.0797672,0.0122719
-1.7464,0.00948312,0.0245806,0.233165,-0.180243,0.0813007,0.0138054
-1.74423,0.00882047,0.0250152,0.234699,-0.177942,0.0828352,0.0161066
-1.74261,0.00831979,0.0260466,0.237,-0.176408,0.0851364,0.0176411
-1.74163,0.00829089,0.0264589,0.238534,-0.174874,0.0866699,0.0199413
-1.73927,0.00711237,0.026104,0.240835,-0.172573,0.0882044,0.0214758
-1.73707,0.00605219,0.0255534,0.242369,-0.171039,0.0897379,0.0230093
-1.73358,0.00503077,0.0235388,0.24467,-0.169505,0.0912724,0.0253105
-1.73026,0.00506998,0.0226532,0.246971,-0.167204,0.0928059,0.026845
-1.72683,0.00655974,0.0228566,0.248505,-0.16567,0.0943403,0.0283785
-1.72383,0.00879171,0.0228359,0.250806,-0.163369,0.0958738,0.0299129
-1.72123,0.00885142,0.0230199,0.25234,-0.161835,0.0974083,0.0314465
-1.71961,0.0078323,0.0225286,0.253874,-0.160301,0.0989418,0.0329809
-1.71754,0.00581497,0.021816,0.256175,-0.158,0.100475,0.0337477
-1.71425,0.00571783,0.020068,0.257709,-0.156466,0.10201,0.0352812
-1.71116,0.00663876,0.0184342,0.259243,-0.154932,0.103543,0.0368156
-1.70729,0.00725116,0.0169247,0.260777,-0.153399,0.105078,0.0383492
-1.70373,0.0070148,0.0164819,0.263078,-0.151097,0.107379,0.0398836
-1.70025,0.00522137,0.016982,0.264612,-0.149563,0.108912,0.0414171
-1.69732,0.00391233,0.0166129,0.266146,-0.148029,0.110447,0.0421848
-1.69385,0.00355093,0.0151526,0.26768,-0.146495,0.11198,0.0437183
-1.68817,0.00519616,0.013754,0.269214,-0.145728,0.113515,0.0452528
-1.6829,0.00639805,0.0133291,0.270748,-0.143427,0.115815,0.0467863
-1.67812,0.00786732,0.0118062,0.272282,-0.141893,0.11735,0.0483208
-1.6749,0.00780973,0.00946051,0.273816,-0.141127,0.119651,0.050621
-1.67093,0.00851884,0.00820346,0.27535,-0.139592,0.121184,0.0521555
-1.6665,0.0082654,0.00753093,0.276884,-0.138059,0.122719,0.053689
-1.66163,0.0084691,0.0084819,0.278418,-0.136524,0.124252,0.0552235
-1.65688,0.00931252,0.00792303,0.279952,-0.134223,0.125787,0.0575247
-1.65195,0.0100419,0.00666915,0.281486,-0.132689,0.128087,0.0590582
-1.64738,0.00883056,0.00515616,0.28302,-0.131155,0.129622,0.0613594
-1.64204,0.00691321,0.00462802,0.284554,-0.129622,0.131155,0.0628929
-1.63591,0.00557285,0.0048881,0.286088,-0.128087,0.132689,0.0651941
-1.62957,0.00451897,0.0065365,0.287621,-0.126554,0.134223,0.0667286
-1.62358,0.00436109,0.00580164,0.289923,-0.125019,0.135757,0.0690289
-1.6183,0.00547,0.00548155,0.291456,-0.123486,0.137291,0.0705633
-1.61354,0.00628993,0.00610708,0.292991,-0.121951,0.138825,0.0720968
-1.60595,0.00790483,0.006967,0.294524,-0.119651,0.140359,0.0736313
-1.59931,0.00922705,0.00683839,0.296825,-0.118116,0.141127,0.0759325
-1.5928,0.00961755,0.00686389,0.298359,-0.116583,0.14266,0.077466
-1.58794,0.00852112,0.00790754,0.299893,-0.115048,0.144195,0.0782328
-1.58367,0.00752862,0.0085912,0.301427,-0.113515,0.145728,0.0797672
-1.57913,0.0069679,0.00898152,0.302961,-0.111214,0.147263,0.0813007
-1.57374,0.00689889,0.00801138,0.304495,-0.109679,0.148796,0.0828352
-1.56623,0.00706775,0.00873561,0.306029,-0.108146,0.149563,0.083602
-1.55919,0.00730944,0.00877225,0.307563,-0.106611,0.151097,0.0851364
-1.55264,0.00742816,0.009366,0.309097,-0.105078,0.152631,0.0866699
-1.54655,0.00864427,0.0108928,0.310631,-0.103543,0.154165,0.0882044
-1.53997,0.00930798,0.0127025,0.312165,-0.10201,0.155699,0.0889711
-1.53097,0.00938359,0.0134697,0.313699,-0.100475,0.157233,0.0905046
